countyFIPS,county,state,stateFIPS,total
0,Statewide Unallocated,GA,13,7675
13153,Houston County,GA,13,845
55127,Walworth County,WI,55,701
17147,Piatt County,IL,17,20
56003,Big Horn County,WY,56,24
17181,Union County,IL,17,195
53045,Mason County,WA,53,55
12035,Flagler County,FL,12,410
28149,Warren County,MS,28,532
20135,Ness County,KS,20,4
45039,Fairfield County,SC,45,318
17095,Knox County,IL,17,149
1067,Henry County,AL,1,137
32031,Washoe County,NV,32,3260
53065,Stevens County,WA,53,20
13261,Sumter County,GA,13,582
4001,Apache County,AZ,4,2471
55069,Lincoln County,WI,55,17
39065,Hardin County,OH,39,123
28153,Wayne County,MS,28,545
17141,Ogle County,IL,17,278
28137,Tate County,MS,28,310
53071,Walla Walla County,WA,53,193
20107,Linn County,KS,20,17
37083,Halifax County,NC,37,329
42091,Montgomery County,PA,42,8682
19171,Tama County,IA,19,467
55015,Calumet County,WI,55,125
31143,Polk County,NE,31,13
1001,Autauga County,AL,1,644
53025,Grant County,WA,53,709
34005,Burlington County,NJ,34,5295
46103,Pennington County,SD,46,590
28123,Scott County,MS,28,779
1061,Geneva County,AL,1,84
22039,Evangeline Parish,LA,22,247
32027,Pershing County,NV,32,9
29069,Dunklin County,MO,29,116
47019,Carter County,TN,47,70
48435,Sutton County,TX,48,13
48477,Washington County,TX,48,309
36079,Putnam County,NY,36,1340
27091,Martin County,MN,27,171
51678,Lexington city,VA,51,13
13175,Laurens County,GA,13,277
42013,Blair County,PA,42,89
8071,Las Animas County,CO,8,9
54013,Calhoun County,WV,54,2
40083,Logan County,OK,40,67
48413,Schleicher County,TX,48,21
18109,Morgan County,IN,18,329
48361,Orange County,TX,48,327
33003,Carroll County,NH,33,64
39149,Shelby County,OH,39,69
18087,LaGrange County,IN,18,471
5065,Izard County,AR,5,25
13119,Franklin County,GA,13,227
8043,Fremont County,CO,8,41
0,Statewide Unallocated,TX,48,0
53021,Franklin County,WA,53,2113
23009,Hancock County,ME,23,18
22065,Madison Parish,LA,22,393
22081,Red River Parish,LA,22,65
16009,Benewah County,ID,16,23
19173,Taylor County,IA,19,79
13259,Stewart County,GA,13,213
31133,Pawnee County,NE,31,0
21079,Garrard County,KY,21,29
49039,Sanpete County,UT,49,66
18059,Hancock County,IN,18,449
30065,Musselshell County,MT,30,1
54017,Doddridge County,WV,54,0
48117,Deaf Smith County,TX,48,371
29155,Pemiscot County,MO,29,114
48023,Baylor County,TX,48,1
46097,Miner County,SD,46,10
37111,McDowell County,NC,37,280
1011,Bullock County,AL,1,373
5047,Franklin County,AR,5,27
46029,Codington County,SD,46,85
51800,Suffolk City,VA,51,470
42003,Allegheny County,PA,42,3979
39145,Scioto County,OH,39,45
32017,Lincoln County,NV,32,2
40109,Oklahoma County,OK,40,3819
47187,Williamson County,TN,47,1420
30089,Sanders County,MT,30,0
47189,Wilson County,TN,47,999
19181,Warren County,IA,19,291
29093,Iron County,MO,29,3
22121,West Baton Rouge Parish,LA,22,326
34009,Cape May County,NJ,34,720
5121,Randolph County,AR,5,56
25019,Nantucket County,MA,25,20
42081,Lycoming County,PA,42,217
48247,Jim Hogg County,TX,48,24
32001,Churchill County,NV,32,20
37087,Haywood County,NC,37,107
26033,Chippewa County,MI,26,14
2122,Kenai Peninsula Borough,AK,2,166
12083,Marion County,FL,12,1043
47069,Hardeman County,TN,47,357
41065,Wasco County,OR,41,96
26003,Alger County,MI,26,4
37185,Warren County,NC,37,174
18129,Posey County,IN,18,44
18101,Martin County,IN,18,23
17119,Madison County,IL,17,1054
20087,Jefferson County,KS,20,31
41057,Tillamook County,OR,41,15
18103,Miami County,IN,18,184
26089,Leelanau County,MI,26,27
27023,Chippewa County,MN,27,79
46137,Ziebach County,SD,46,1
1045,Dale County,AL,1,305
47013,Campbell County,TN,47,54
20049,Elk County,KS,20,1
19105,Jones County,IA,19,61
47075,Haywood County,TN,47,96
28085,Lincoln County,MS,28,484
29189,St. Louis County,MO,29,6845
51091,Highland County,VA,51,3
48011,Armstrong County,TX,48,3
37169,Stokes County,NC,37,147
20199,Wallace County,KS,20,0
18167,Vigo County,IN,18,236
30085,Roosevelt County,MT,30,7
47011,Bradley County,TN,47,773
48219,Hockley County,TX,48,86
13027,Brooks County,GA,13,200
55027,Dodge County,WI,55,487
28147,Walthall County,MS,28,205
13241,Rabun County,GA,13,58
35059,Union County,NM,35,8
26155,Shiawassee County,MI,26,278
20061,Geary County,KS,20,95
19165,Shelby County,IA,19,114
12039,Gadsden County,FL,12,474
13257,Stephens County,GA,13,279
4005,Coconino County,AZ,4,2237
31069,Garden County,NE,31,4
13019,Berrien County,GA,13,152
1025,Clarke County,AL,1,284
13217,Newton County,GA,13,757
27109,Olmsted County,MN,27,1147
36009,Cattaraugus County,NY,36,128
10003,New Castle County,DE,10,5555
40041,Delaware County,OK,40,199
28077,Lawrence County,MS,28,187
28025,Clay County,MS,28,249
47049,Fentress County,TN,47,24
48227,Howard County,TX,48,55
21085,Grayson County,KY,21,140
19099,Jasper County,IA,19,325
17027,Clinton County,IL,17,243
48277,Lamar County,TX,48,332
55091,Pepin County,WI,55,1
24013,Carroll County,MD,24,1182
31021,Burt County,NE,31,14
29033,Carroll County,MO,29,20
8065,Lake County,CO,8,51
23025,Somerset County,ME,23,30
45043,Georgetown County,SC,45,643
20187,Stanton County,KS,20,12
31017,Brown County,NE,31,0
48261,Kenedy County,TX,48,1
39141,Ross County,OH,39,130
39165,Warren County,OH,39,881
6101,Sutter County,CA,6,302
32019,Lyon County,NV,32,132
19001,Adair County,IA,19,16
0,Statewide Unallocated,AZ,4,0
12105,Polk County,FL,12,5665
13011,Banks County,GA,13,143
5133,Sevier County,AR,5,758
0,Statewide Unallocated,FL,12,231
48087,Collingsworth County,TX,48,6
29221,Washington County,MO,29,25
21211,Shelby County,KY,21,528
0,Statewide Unallocated,NE,31,2
47005,Benton County,TN,47,13
18071,Jackson County,IN,18,472
0,Statewide Unallocated,PA,42,0
17115,Macon County,IL,17,238
6017,El Dorado County,CA,6,264
51650,Hampton city,VA,51,390
1059,Franklin County,AL,1,907
38101,Ward County,ND,38,66
49029,Morgan County,UT,49,25
13131,Grady County,GA,13,239
13039,Camden County,GA,13,216
51131,Northampton County,VA,51,272
19073,Greene County,IA,19,30
8061,Kiowa County,CO,8,0
51075,Goochland County,VA,51,128
36003,Allegany County,NY,36,63
19179,Wapello County,IA,19,708
8063,Kit Carson County,CO,8,33
19147,Palo Alto County,IA,19,41
56045,Weston County,WY,56,1
30045,Judith Basin County,MT,30,0
47171,Unicoi County,TN,47,55
40117,Pawnee County,OK,40,60
13229,Pierce County,GA,13,217
42087,Mifflin County,PA,42,66
48031,Blanco County,TX,48,31
2100,Haines Borough,AK,2,2
27107,Norman County,MN,27,20
26021,Berrien County,MI,26,939
26067,Ionia County,MI,26,205
25007,Dukes County,MA,25,51
16055,Kootenai County,ID,16,464
13309,Wheeler County,GA,13,56
48039,Brazoria County,TX,48,2925
55137,Waushara County,WI,55,34
51005,Alleghany County,VA,51,38
13171,Lamar County,GA,13,138
28097,Montgomery County,MS,28,139
20023,Cheyenne County,KS,20,2
22033,East Baton Rouge Parish,LA,22,6231
36095,Schoharie County,NY,36,59
31119,Madison County,NE,31,376
38057,Mercer County,ND,38,7
42121,Venango County,PA,42,28
45065,McCormick County,SC,45,26
48355,Nueces County,TX,48,4084
48167,Galveston County,TX,48,4586
54057,Mineral County,WV,54,58
46015,Brule County,SD,46,29
51820,Waynesboro city,VA,51,102
53027,Grays Harbor County,WA,53,32
48495,Winkler County,TX,48,37
31059,Fillmore County,NE,31,15
37079,Greene County,NC,37,192
12129,Wakulla County,FL,12,93
39045,Fairfield County,OH,39,585
30071,Phillips County,MT,30,0
38029,Emmons County,ND,38,4
35055,Taos County,NM,35,49
45073,Oconee County,SC,45,350
28127,Simpson County,MS,28,345
37053,Currituck County,NC,37,21
37129,New Hanover County,NC,37,1161
45041,Florence County,SC,45,1427
1049,DeKalb County,AL,1,770
36121,Wyoming County,NY,36,97
21131,Leslie County,KY,21,10
38031,Foster County,ND,38,2
19079,Hamilton County,IA,19,189
28101,Newton County,MS,28,347
20079,Harvey County,KS,20,52
5083,Logan County,AR,5,62
22023,Cameron Parish,LA,22,85
47107,McMinn County,TN,47,243
31015,Boyd County,NE,31,1
21053,Clinton County,KY,21,6
47065,Hamilton County,TN,47,2867
20193,Thomas County,KS,20,16
35005,Chaves County,NM,35,133
0,Statewide Unallocated,OR,41,0
36017,Chenango County,NY,36,157
13023,Bleckley County,GA,13,81
42123,Warren County,PA,42,7
29173,Ralls County,MO,29,10
42133,York County,PA,42,1654
12107,Putnam County,FL,12,566
38059,Morton County,ND,38,109
47091,Johnson County,TN,47,45
17047,Edwards County,IL,17,2
53011,Clark County,WA,53,962
30017,Custer County,MT,30,30
45085,Sumter County,SC,45,1246
13191,McIntosh County,GA,13,69
29045,Clark County,MO,29,2
5085,Lonoke County,AR,5,178
51047,Culpeper County,VA,51,829
41021,Gilliam County,OR,41,1
19053,Decatur County,IA,19,12
24039,Somerset County,MD,24,91
0,Statewide Unallocated,ND,38,0
21227,Warren County,KY,21,1651
17149,Pike County,IL,17,4
47089,Jefferson County,TN,47,147
13183,Long County,GA,13,57
51083,Halifax County,VA,51,68
1075,Lamar County,AL,1,81
0,Statewide Unallocated,WA,53,116
27009,Benton County,MN,27,220
21179,Nelson County,KY,21,93
19007,Appanoose County,IA,19,21
21083,Graves County,KY,21,233
48027,Bell County,TX,48,1626
48099,Coryell County,TX,48,336
6000,Grand Princess Cruise Ship,CA,6,21
18099,Marshall County,IN,18,492
31055,Douglas County,NE,31,7596
21013,Bell County,KY,21,43
35045,San Juan County,NM,35,2594
49017,Garfield County,UT,49,18
13091,Dodge County,GA,13,127
54101,Webster County,WV,54,1
27017,Carlton County,MN,27,87
29137,Monroe County,MO,29,5
26113,Missaukee County,MI,26,33
5149,Yell County,AR,5,750
28073,Lamar County,MS,28,491
22075,Plaquemines Parish,LA,22,288
17051,Fayette County,IL,17,23
18011,Boone County,IN,18,449
13029,Bryan County,GA,13,188
55075,Marinette County,WI,55,71
46117,Stanley County,SD,46,14
18183,Whitley County,IN,18,96
38079,Rolette County,ND,38,11
8081,Moffat County,CO,8,13
55131,Washington County,WI,55,443
31061,Franklin County,NE,31,8
29187,St. Francois County,MO,29,158
29205,Shelby County,MO,29,4
13317,Wilkes County,GA,13,85
38105,Williams County,ND,38,50
16057,Latah County,ID,16,30
49055,Wayne County,UT,49,0
31155,Saunders County,NE,31,81
35003,Catron County,NM,35,2
8057,Jackson County,CO,8,2
0,Statewide Unallocated,NH,33,1
19011,Benton County,IA,19,68
22029,Concordia Parish,LA,22,126
42011,Berks County,PA,42,4606
47135,Perry County,TN,47,35
36039,Greene County,NY,36,263
46019,Butte County,SD,46,0
29025,Caldwell County,MO,29,12
17089,Kane County,IL,17,7909
23027,Waldo County,ME,23,58
48329,Midland County,TX,48,927
42061,Huntingdon County,PA,42,254
53039,Klickitat County,WA,53,70
37045,Cleveland County,NC,37,407
25005,Bristol County,MA,25,8348
5101,Newton County,AR,5,7
48213,Henderson County,TX,48,196
35015,Eddy County,NM,35,107
12075,Levy County,FL,12,218
8041,El Paso County,CO,8,2685
33017,Strafford County,NH,33,295
34011,Cumberland County,NJ,34,3029
20125,Montgomery County,KS,20,49
13079,Crawford County,GA,13,53
28125,Sharkey County,MS,28,37
31135,Perkins County,NE,31,0
46031,Corson County,SD,46,19
48341,Moore County,TX,48,902
53019,Ferry County,WA,53,1
16049,Idaho County,ID,16,8
21237,Wolfe County,KY,21,4
20131,Nemaha County,KS,20,28
47079,Henry County,TN,47,45
13031,Bulloch County,GA,13,536
55099,Price County,WI,55,2
18147,Spencer County,IN,18,41
0,Statewide Unallocated,NJ,34,682
42105,Potter County,PA,42,17
18179,Wells County,IN,18,75
13157,Jackson County,GA,13,464
48501,Yoakum County,TX,48,39
5105,Perry County,AR,5,34
41053,Polk County,OR,41,166
37151,Randolph County,NC,37,1330
37197,Yadkin County,NC,37,357
48321,Matagorda County,TX,48,274
19045,Clinton County,IA,19,112
19161,Sac County,IA,19,64
48503,Young County,TX,48,34
47061,Grundy County,TN,47,63
21167,Mercer County,KY,21,25
20167,Russell County,KS,20,2
25009,Essex County,MA,25,16318
13151,Henry County,GA,13,1525
27061,Itasca County,MN,27,64
28043,Grenada County,MS,28,506
30057,Madison County,MT,30,20
1111,Randolph County,AL,1,218
6031,Kings County,CA,6,2755
48299,Llano County,TX,48,11
36005,Bronx County,NY,36,48038
36069,Ontario County,NY,36,283
51125,Nelson County,VA,51,21
26125,Oakland County,MI,26,12320
51049,Cumberland County,VA,51,58
51003,Albemarle County,VA,51,472
21161,Mason County,KY,21,39
19009,Audubon County,IA,19,16
48021,Bastrop County,TX,48,522
46025,Clark County,SD,46,15
28163,Yazoo County,MS,28,523
6023,Humboldt County,CA,6,154
41049,Morrow County,OR,41,109
20179,Sheridan County,KS,20,5
31169,Thayer County,NE,31,1
17057,Fulton County,IL,17,15
53037,Kittitas County,WA,53,160
37007,Anson County,NC,37,162
30039,Granite County,MT,30,4
0,Statewide Unallocated,UT,49,12
40043,Dewey County,OK,40,4
48333,Mills County,TX,48,1
51630,Fredericksburg City,VA,51,260
51155,Pulaski County,VA,51,48
8079,Mineral County,CO,8,13
31181,Webster County,NE,31,7
1007,Bibb County,AL,1,199
51183,Sussex County,VA,51,211
39019,Carroll County,OH,39,59
40105,Nowata County,OK,40,37
17039,De Witt County,IL,17,12
17169,Schuyler County,IL,17,13
29115,Linn County,MO,29,19
47149,Rutherford County,TN,47,3111
51133,Northumberland County,VA,51,37
45083,Spartanburg County,SC,45,2008
41015,Curry County,OR,41,8
18067,Howard County,IN,18,580
48297,Live Oak County,TX,48,50
13227,Pickens County,GA,13,101
5031,Craighead County,AR,5,485
16017,Bonner County,ID,16,40
13049,Charlton County,GA,13,74
29013,Bates County,MO,29,12
5011,Bradley County,AR,5,55
17005,Bond County,IL,17,17
38043,Kidder County,ND,38,2
42067,Juniata County,PA,42,114
55079,Milwaukee County,WI,55,12539
18133,Putnam County,IN,18,170
51033,Caroline County,VA,51,129
55005,Barron County,WI,55,36
49057,Weber County,UT,49,1278
13167,Johnson County,GA,13,112
37173,Swain County,NC,37,61
38005,Benson County,ND,38,5
38041,Hettinger County,ND,38,1
34041,Warren County,NJ,34,1258
20035,Cowley County,KS,20,76
26101,Manistee County,MI,26,25
20101,Lane County,KS,20,5
26005,Allegan County,MI,26,346
47095,Lake County,TN,47,694
21039,Carlisle County,KY,21,7
55078,Menominee County,WI,55,7
38067,Pembina County,ND,38,11
22071,Orleans Parish,LA,22,8206
17167,Sangamon County,IL,17,462
40015,Caddo County,OK,40,200
27081,Lincoln County,MN,27,10
32029,Storey County,NV,32,2
29227,Worth County,MO,29,4
31127,Nemaha County,NE,31,5
26109,Menominee County,MI,26,25
12071,Lee County,FL,12,7859
10005,Sussex County,DE,10,4977
5029,Conway County,AR,5,77
48471,Walker County,TX,48,2099
21075,Fulton County,KY,21,24
2060,Bristol Bay Borough,AK,2,0
31071,Garfield County,NE,31,1
48343,Morris County,TX,48,49
51149,Prince George County,VA,51,246
9015,Windham County,CT,9,627
16063,Lincoln County,ID,16,37
48073,Cherokee County,TX,48,250
12027,DeSoto County,FL,12,760
6059,Orange County,CA,6,18892
13185,Lowndes County,GA,13,1659
33013,Merrimack County,NH,33,420
51095,James City County,VA,51,306
13069,Coffee County,GA,13,660
46091,Marshall County,SD,46,5
48139,Ellis County,TX,48,1182
53009,Clallam County,WA,53,46
5007,Benton County,AR,5,3095
40139,Texas County,OK,40,997
28111,Perry County,MS,28,72
8031,Denver County,CO,8,7477
17015,Carroll County,IL,17,21
35061,Valencia County,NM,35,155
37167,Stanly County,NC,37,481
46055,Haakon County,SD,46,1
22063,Livingston Parish,LA,22,1267
42097,Northumberland County,PA,42,328
5013,Calhoun County,AR,5,2
32007,Elko County,NV,32,162
12029,Dixie County,FL,12,84
45055,Kershaw County,SC,45,790
0,Statewide Unallocated,LA,22,33
19155,Pottawattamie County,IA,19,737
51187,Warren County,VA,51,300
36043,Herkimer County,NY,36,181
21147,McCreary County,KY,21,18
18035,Delaware County,IN,18,450
21145,McCracken County,KY,21,181
26055,Grand Traverse County,MI,26,70
27159,Wadena County,MN,27,15
48203,Harrison County,TX,48,383
50021,Rutland County,VT,50,75
51029,Buckingham County,VA,51,570
6115,Yuba County,CA,6,147
8035,Douglas County,CO,8,1042
44007,Providence County,RI,44,13144
27071,Koochiching County,MN,27,18
54003,Berkeley County,WV,54,493
31125,Nance County,NE,31,4
48323,Maverick County,TX,48,550
54079,Putnam County,WV,54,70
29129,Mercer County,MO,29,6
13115,Floyd County,GA,13,641
21239,Woodford County,KY,21,75
40087,McClain County,OK,40,216
39123,Ottawa County,OH,39,150
17001,Adams County,IL,17,134
5059,Hot Spring County,AR,5,587
17065,Hamilton County,IL,17,6
20045,Douglas County,KS,20,354
13303,Washington County,GA,13,148
1117,Shelby County,AL,1,1376
46017,Buffalo County,SD,46,77
53031,Jefferson County,WA,53,41
47143,Rhea County,TN,47,289
13087,Decatur County,GA,13,268
8019,Clear Creek County,CO,8,21
21175,Morgan County,KY,21,11
37017,Bladen County,NC,37,406
27133,Rock County,MN,27,31
39013,Belmont County,OH,39,554
16041,Franklin County,ID,16,30
5061,Howard County,AR,5,106
48481,Wharton County,TX,48,244
32015,Lander County,NV,32,38
42125,Washington County,PA,42,339
56037,Sweetwater County,WY,56,122
34007,Camden County,NJ,34,7536
29201,Scott County,MO,29,188
48093,Comanche County,TX,48,21
18161,Union County,IN,18,13
26017,Bay County,MI,26,407
21105,Hickman County,KY,21,7
13237,Putnam County,GA,13,201
39085,Lake County,OH,39,508
13169,Jones County,GA,13,121
48201,Harris County,TX,48,37776
30043,Jefferson County,MT,30,4
6087,Santa Cruz County,CA,6,501
45077,Pickens County,SC,45,1004
48197,Hardeman County,TX,48,5
42043,Dauphin County,PA,42,2220
22127,Winn Parish,LA,22,263
22085,Sabine Parish,LA,22,120
51145,Powhatan County,VA,51,86
55071,Manitowoc County,WI,55,122
17059,Gallatin County,IL,17,4
46003,Aurora County,SD,46,34
32023,Nye County,NV,32,150
13013,Barrow County,GA,13,568
26009,Antrim County,MI,26,23
26011,Arenac County,MI,26,38
45035,Dorchester County,SC,45,1155
40055,Greer County,OK,40,66
18077,Jefferson County,IN,18,72
40129,Roger Mills County,OK,40,0
20065,Graham County,KS,20,2
1037,Coosa County,AL,1,59
49051,Wasatch County,UT,49,427
48417,Shackelford County,TX,48,5
48053,Burnet County,TX,48,181
12089,Nassau County,FL,12,346
55065,Lafayette County,WI,55,76
20089,Jewell County,KS,20,4
35057,Torrance County,NM,35,48
36083,Rensselaer County,NY,36,578
54069,Ohio County,WV,54,110
0,Statewide Unallocated,WY,56,0
56013,Fremont County,WY,56,370
51045,Craig County,VA,51,9
31081,Hamilton County,NE,31,67
47031,Coffee County,TN,47,125
56001,Albany County,WY,56,43
46065,Hughes County,SD,46,65
53059,Skamania County,WA,53,14
21231,Wayne County,KY,21,20
12045,Gulf County,FL,12,57
32510,Carson City,NV,32,182
48003,Andrews County,TX,48,103
46087,McCook County,SD,46,14
51035,Carroll County,VA,51,235
21215,Spencer County,KY,21,40
27075,Lake County,MN,27,6
26159,Van Buren County,MI,26,246
31079,Hall County,NE,31,1606
48455,Trinity County,TX,48,48
22091,St. Helena Parish,LA,22,113
47163,Sullivan County,TN,47,141
21199,Pulaski County,KY,21,106
41007,Clatsop County,OR,41,54
40151,Woods County,OK,40,8
54103,Wetzel County,WV,54,18
41071,Yamhill County,OR,41,155
48283,La Salle County,TX,48,24
48161,Freestone County,TX,48,39
37187,Washington County,NC,37,41
6005,Amador County,CA,6,34
39033,Crawford County,OH,39,136
19039,Clarke County,IA,19,133
51011,Appomattox County,VA,51,44
51177,Spotsylvania County,VA,51,1048
2275,Wrangell City and Borough,AK,2,3
8001,Adams County,CO,8,4478
48105,Crockett County,TX,48,15
13179,Liberty County,GA,13,168
46053,Gregory County,SD,46,4
39135,Preble County,OH,39,78
46013,Brown County,SD,46,350
19189,Winnebago County,IA,19,29
48189,Hale County,TX,48,592
41023,Grant County,OR,41,1
16021,Boundary County,ID,16,1
12001,Alachua County,FL,12,1701
56031,Platte County,WY,56,4
5033,Crawford County,AR,5,218
27039,Dodge County,MN,27,88
53073,Whatcom County,WA,53,681
48449,Titus County,TX,48,842
25023,Plymouth County,MA,25,8757
