countyFIPS,county,state,stateFIPS,deaths
1001,Autauga County,AL,1,13
1003,Baldwin County,AL,1,10
1005,Barbour County,AL,1,2
1007,Bibb County,AL,1,1
1009,Blount County,AL,1,1
1011,Bullock County,AL,1,11
1013,Butler County,AL,1,28
1015,Calhoun County,AL,1,5
1017,Chambers County,AL,1,27
1019,Cherokee County,AL,1,7
1021,Chilton County,AL,1,3
1023,Choctaw County,AL,1,12
1025,Clarke County,AL,1,6
1027,Clay County,AL,1,2
1029,Cleburne County,AL,1,1
1031,Coffee County,AL,1,3
1033,Colbert County,AL,1,6
1035,Conecuh County,AL,1,7
1037,Coosa County,AL,1,1
1039,Covington County,AL,1,8
1041,Crenshaw County,AL,1,3
1043,Cullman County,AL,1,5
1045,Dale County,AL,1,0
1047,Dallas County,AL,1,9
1049,DeKalb County,AL,1,5
1051,Elmore County,AL,1,15
1053,Escambia County,AL,1,8
1055,Etowah County,AL,1,13
1057,Fayette County,AL,1,1
1059,Franklin County,AL,1,16
1061,Geneva County,AL,1,0
1063,Greene County,AL,1,8
1065,Hale County,AL,1,21
1067,Henry County,AL,1,4
1069,Houston County,AL,1,8
1071,Jackson County,AL,1,3
1073,Jefferson County,AL,1,157
1075,Lamar County,AL,1,1
1077,Lauderdale County,AL,1,6
1079,Lawrence County,AL,1,0
1081,Lee County,AL,1,38
1083,Limestone County,AL,1,1
1085,Lowndes County,AL,1,23
1087,Macon County,AL,1,9
1089,Madison County,AL,1,9
1091,Marengo County,AL,1,11
1093,Marion County,AL,1,13
1095,Marshall County,AL,1,11
1097,Mobile County,AL,1,140
1099,Monroe County,AL,1,3
1101,Montgomery County,AL,1,107
1103,Morgan County,AL,1,5
1105,Perry County,AL,1,1
1107,Pickens County,AL,1,6
1109,Pike County,AL,1,5
1111,Randolph County,AL,1,9
1113,Russell County,AL,1,0
1115,St. Clair County,AL,1,2
1117,Shelby County,AL,1,24
1119,Sumter County,AL,1,12
1121,Talladega County,AL,1,8
1123,Tallapoosa County,AL,1,70
1125,Tuscaloosa County,AL,1,46
1127,Walker County,AL,1,25
1129,Washington County,AL,1,7
1131,Wilcox County,AL,1,8
1133,Winston County,AL,1,3
2013,Aleutians East Borough,AK,2,0
2016,Aleutians West Census Area,AK,2,0
2020,Municipality of Anchorage,AK,2,6
2050,Bethel Census Area,AK,2,0
2060,Bristol Bay Borough,AK,2,0
2068,Denali Borough,AK,2,0
2070,Dillingham Census Area,AK,2,0
2090,Fairbanks North Star Borough,AK,2,2
2100,Haines Borough,AK,2,0
2105,Hoonah-Angoon Census Area,AK,2,0
2110,City and Borough of Juneau,AK,2,0
2122,Kenai Peninsula Borough,AK,2,2
2130,Ketchikan Gateway Borough,AK,2,0
2150,Kodiak Island Borough,AK,2,0
2158,Kusilvak Census Area,AK,2,0
2164,Lake and Peninsula Borough,AK,2,0
2170,Matanuska-Susitna Borough,AK,2,1
2180,Nome Census Area,AK,2,0
2185,North Slope Borough,AK,2,0
2188,Northwest Arctic Borough,AK,2,0
2195,Petersburg Census Area,AK,2,1
2198,Prince of Wales-Hyder Census Area,AK,2,0
2220,Sitka City and Borough,AK,2,0
2230,Skagway Municipality,AK,2,0
2240,Southeast Fairbanks Census Area,AK,2,0
