Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
20200705,AK,1138,541,25,NA,60,131,29,36,22,294,64,726,696,16,10,0,NA,2,3,1,0,0,0,0,16,0
20200705,AL,43953,14864,15320,NA,182,NA,NA,NA,2515,11070,4175,25917,13855,1007,488,442,NA,4,NA,NA,NA,17,56,31,850,126
20200705,AR,23814,11090,5169,NA,324,63,1569,NA,3347,2252,5816,17998,0,287,156,70,NA,3,NA,26,NA,19,13,22,252,13
20200705,AS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
20200705,AZ,98089,15017,2088,22563,705,6717,NA,NA,1870,49129,22563,26397,49129,1809,755,50,396,19,298,NA,NA,38,253,396,1160,253
20200705,CA,260155,29598,7432,95380,11013,343,1029,1223,25774,88363,95380,76412,88363,6331,1971,572,2588,880,23,25,34,70,168,2588,3575,168
20200705,CO,34065,10653,1655,11728,757,171,115,317,255,8410,11728,13923,8410,1521,954,99,321,50,8,5,18,6,56,321,1140,56
20200705,CT,46717,16433,6134,8857,680,45,NA,128,264,14176,8857,23684,14176,4335,3176,644,374,47,2,NA,27,16,49,374,3912,49
20200705,DC,10482,2156,5213,NA,167,26,29,NA,2687,204,2989,6275,1218,559,60,412,74,8,NA,NA,NA,0,5,74,480,5
20200705,DE,12128,3753,3124,3306,175,NA,NA,NA,607,1163,3306,7659,1163,512,322,131,31,1,NA,NA,NA,6,21,31,460,21
20200705,FL,200111,43123,29060,54692,NA,NA,NA,NA,6973,66263,54692,67601,77818,3832,1777,752,964,NA,NA,NA,NA,119,220,964,2513,355
20200705,GA,95516,23346,26208,14816,1344,55,84,NA,2580,27083,14816,45600,35100,2860,1291,1345,146,47,3,5,NA,10,13,146,2680,34
20200705,GU,301,34,NA,NA,118,NA,115,NA,17,17,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5
20200705,HI,1023,186,9,NA,304,NA,301,NA,19,204,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
20200705,IA,31779,20139,2832,NA,1888,314,314,NA,314,5978,7552,18880,5034,721,574,35,NA,22,4,11,NA,3,66,49,589,80
20200705,ID,7733,3777,113,NA,79,79,29,267,831,2553,1559,2857,3316,93,87,1,NA,2,1,NA,NA,1,0,6,86,1
